title_w,title_c,folderlabel_w,folderlabel_c,summary_w,summary_c,ndcg_10
1.0,0.5,1.3,0.3,1.0,0.85,0.7482507944738005
1.0,0.5,0.5,0.8,1.0,0.85,0.7472223549111692
1.0,0.5,0.5,0.65,1.0,0.85,0.7471481450978653
1.0,0.8,1.3,0.3,1.0,0.85,0.7465653801725219
1.0,0.5,0.5,0.3,1.0,0.85,0.7457628227010075
1.0,0.5,1.3,0.8,1.0,0.85,0.7447266235390287
2.3,0.5,0.5,0.8,1.0,0.5,0.7441827502899571
1.0,0.2,1.3,0.3,1.0,0.85,0.7441551355378357
1.0,0.5,1.3,0.65,1.0,0.85,0.7439696735927258
2.3,0.2,0.5,0.8,1.0,0.5,0.74392415873754
2.3,0.5,0.5,0.65,1.0,0.5,0.7435498408497853
2.3,0.2,1.3,0.8,2.3,0.85,0.7432773450153972
1.0,0.8,1.3,0.65,1.0,0.85,0.7432748494057331
2.3,0.2,0.5,0.65,1.0,0.5,0.743083217488421
1.0,0.8,0.5,0.3,1.0,0.85,0.7430607353580538
2.3,0.2,2.7,0.8,2.3,0.85,0.7430325421817863
1.0,0.5,1.3,0.3,1.0,0.5,0.7429552868649391
2.3,0.2,2.7,0.65,2.3,0.85,0.7429512441625846
1.0,0.2,0.5,0.3,1.0,0.85,0.7428107719924374
1.0,0.2,1.3,0.8,1.0,0.5,0.7427814757975539
1.0,0.8,0.5,0.8,1.0,0.85,0.7427701900026059
1.0,0.2,1.3,0.65,1.0,0.5,0.742669479738721
1.0,0.5,1.3,0.8,1.0,0.5,0.7426050825260471
1.0,0.8,1.3,0.8,1.0,0.85,0.7426010741440456
1.0,0.8,0.5,0.65,1.0,0.85,0.7425970422303197
2.3,0.5,1.3,0.3,1.0,0.5,0.7425285313059268
1.0,0.5,1.3,0.65,1.0,0.5,0.7423650733641044
2.3,0.2,1.3,0.65,2.3,0.85,0.7423063451521108
2.3,0.5,2.7,0.8,2.3,0.5,0.7421998438118367
1.0,0.8,1.3,0.8,1.0,0.5,0.7419278359246013
